Title,Price_website1,Price_website2,Better_Website
MAC Bestsellers Lipstick Trio,£57.50,£52.50,www.lookfantastic.com
MAC Bestsellers Lip Duo Kit,£80.00,£65.00,www.lookfantastic.com
